POSTO,Data,Dia m3/s,NÍVEL RES. (m),VOLUME (%VU) ARM. nan,nan ESP. nan,VAZÃO (m3/s) TUR. nan,nan VER. nan,nan OTR. nan,nan DFL. nan,nan TRA. nan,nan AFL. nan,nan INC. nan,nan Usos Con.,nan EVP. nan,nan ART. nan
254,2020-08-09,58,117.56,143.32,-,36,0,0,36,0,53,58,0.0,0.0,0
155,2020-08-09,35,613.98,0.0,-,41,0,0,41,0,32,35,2.31,0.48,0
156,2020-08-09,188,569.74,82.57,100,604,0,0,604,0,166,153,8.17,17.32,0
158,2020-08-09,29,825.61,71.43,100,48,0,0,48,0,25,29,2.21,1.26,0
168,2020-08-09,564,0.0,0.0,-,0,0,0,0,0,0,0,0.0,0.0,0
169,2020-08-09,795,390.83,77.71,100,1111,0,0,1111,0,740,564,0.0,0.0,0
172,2020-08-09,803,303.91,97.91,100,770,0,0,770,0,1100,0,0.0,0.0,0
173,2020-08-09,803,251.53,76.08,-,0,0,0,0,842,738,0,0.0,0.0,0
174,2020-08-09,803,229.87,84.69,-,0,0,0,0,0,2,0,0.0,0.0,0
175,2020-08-09,803,251.37,67.94,-,842,0,0,842,0,773,0,0.0,0.0,0
178,2020-08-09,809,137.44,34.15,-,1114,0,0,1114,0,842,0,0.0,0.0,0
190,2020-08-09,212,302.87,77.72,100,252,0,0,252,0,206,212,5.61,12.32,0
270,2020-08-09,201,439.98,36.84,-,300,0,0,300,0,137,201,24.97,31.63,0
191,2020-08-09,213,332.89,96.11,-,313,0,0,313,0,313,12,25.12,3.7,0
253,2020-08-09,225,286.78,55.24,-,334,0,0,334,0,320,12,25.34,2.42,0
257,2020-08-09,322,262.07,51.5,-,567,0,0,567,0,536,95,31.16,5.97,0
273,2020-08-09,433,211.87,45.49,-,600,0,0,600,0,530,100,33.86,17.51,0
271,2020-08-09,951,155.77,94.75,-,994,0,0,994,0,1056,498,36.48,15.26,0
275,2020-08-09,1918,72.88,91.59,-,3401,0,0,3401,0,2408,918,101.18,-9.97,0
204,2020-08-09,886,58.24,93.42,-,924,0,0,924,0,878,886,0.0,-0.39,0
280,2020-08-09,889,41.86,93.59,-,381,478,0,859,0,832,3,0.01,0.0,0
297,2020-08-09,896,20.24,0.0,-,1014,0,0,1014,0,967,7,0.0,-0.17,0
296,2020-08-09,29,479.15,89.76,-,26,0,0,29,0,29,29,0.04,0.07,0
285,2020-08-09,5969,82.7,2.66,-,6105,0,0,6105,0,6030,5969,58.58,2.24,0
287,2020-08-09,6196,71.28,98.4,-,5791,0,0,5805,0,5805,91,58.58,4.89,0
269,2020-08-09,338,49.12,57.12,-,260,0,0,260,0,357,338,0.03,-20.63,0
279,2020-08-09,54,85.5,60.61,-,163,0,0,163,0,47,54,0.36,4.62,0
291,2020-08-09,63,213.52,4.35,-,30,33,0,63,0,63,63,0.18,0.0,0
145,2020-08-09,52,266.0,52.96,-,72,0,0,80,0,50,52,0.26,0.92,0
227,2020-08-09,357,293.17,7.94,-,641,0,0,641,0,354,357,0.0,0.0,0
228,2020-08-09,419,271.78,63.33,-,689,0,0,689,0,704,62,0.0,0.0,0
229,2020-08-09,593,220.45,102.09,-,788,0,0,788,0,822,164,20.77,1.19,0
230,2020-08-09,595,161.26,87.23,-,789,0,0,789,0,839,1,0.0,0.0,0
277,2020-08-09,157,32.26,100.63,-,157,0,0,157,0,157,157,0.07,-0.42,0
288,2020-08-09,1584,96.95,0.0,-,957,0,0,969,592,1519,1584,7.82,0.0,931
292,2020-08-09,652,96.95,82.23,-,657,0,0,657,0,0,0,0.0,0.0,652
290,2020-08-09,995,30.06,107.8,-,965,41,0,1006,0,998,995,0.82,-0.43,0
1,2020-08-08,44,911.98,89.68,100,80,0,0,80,0,40,44,0.4,0.6,0
2,2020-08-08,44,885.57,89.87,-,87,0,0,87,0,86,0,0.0,0.0,0
211,2020-08-08,103,807.93,64.9,-,124,0,0,124,0,136,60,2.48,0.38,0
6,2020-08-08,243,761.92,55.32,100,653,0,0,653,0,205,139,13.06,16.59,0
7,2020-08-08,289,660.55,50.46,100,934,0,0,934,0,746,45,14.24,3.0,0
8,2020-08-08,301,620.73,55.3,-,674,0,0,674,0,940,10,14.55,0.75,0
9,2020-08-08,306,557.72,74.0,-,688,140,0,828,0,741,4,14.85,0.54,0
10,2020-08-08,320,512.01,52.02,-,869,0,0,869,0,903,12,15.24,0.92,0
11,2020-08-08,349,494.2,50.5,-,936,0,0,936,0,1071,27,18.17,3.86,0
12,2020-08-08,402,466.5,57.99,-,926,0,0,926,0,926,52,31.01,2.92,0
14,2020-08-08,19,849.41,68.93,100,34,0,0,34,0,14,19,1.66,0.49,0
15,2020-08-08,30,664.78,94.88,-,42,0,0,42,0,44,12,4.24,0.02,0
16,2020-08-08,30,572.38,88.81,-,40,0,0,40,0,39,0,0.0,0.0,0
17,2020-08-08,597,436.31,34.55,90.99,1192,0,0,1192,0,1018,162,104.99,5.41,0
18,2020-08-08,713,377.85,39.05,100,1434,0,0,1434,0,1376,113,117.06,11.11,0
22,2020-08-08,37,795.72,61.74,-,73,0,0,73,0,17,37,5.58,4.63,0
251,2020-08-08,61,746.55,49.93,-,281,0,0,281,0,136,23,7.62,3.41,0
24,2020-08-08,174,638.64,38.01,100,594,0,0,594,0,365,113,21.54,5.21,0
25,2020-08-08,125,799.02,45.33,100,257,0,0,257,0,163,124,3.65,7.05,0
206,2020-08-08,128,695.26,74.55,-,322,0,0,322,0,288,3,6.35,0.97,0
207,2020-08-08,128,623.84,76.75,-,330,0,0,337,0,337,0,7.0,0.52,0
28,2020-08-08,130,564.99,96.67,-,344,0,0,344,0,344,1,8.49,0.96,0
205,2020-08-08,43,840.33,57.17,-,115,0,0,115,0,57,43,4.17,4.76,0
23,2020-08-08,53,768.62,13.95,-,35,19,0,54,0,123,10,4.81,1.58,0
209,2020-08-08,145,591.84,82.03,-,229,0,0,229,0,166,92,12.81,1.11,0
31,2020-08-08,532,510.62,50.57,100,2204,0,0,2204,0,1229,81,57.64,10.79,0
